iter	RMSE
0	5.727634726
1	5.710937222
2	5.692817074
3	5.629117678
4	5.614190787
5	5.572105526
6	5.562889289
7	5.519841527
8	5.476916099
9	5.46539483
10	5.445453559
11	5.432554907
12	5.428459304
13	5.404166852
14	5.399208289
15	5.364519697
16	5.343283445
17	5.338634732
18	5.335848093
19	5.33310547
20	5.33104195
21	5.3248792
22	5.321552576
23	5.317543796
24	5.312890051
25	5.309084327
26	5.280634766
27	5.27771114
28	5.2764747
29	5.273676905
30	5.27166277
31	5.27000532
32	5.268506757
33	5.246712694
34	5.245166498
35	5.243040902
36	5.240285082
37	5.239013657
38	5.238242088
39	5.236178333
40	5.22696222
41	5.225967323
42	5.209155859
43	5.206582816
44	5.205243872
45	5.186077198
46	5.185270745
47	5.18475217
48	5.183990359
49	5.183080295
50	5.181686304
51	5.170525443
52	5.156321568
53	5.155768895
54	5.152894669
55	5.152238803
56	5.151398873
57	5.14792579
58	5.145764839
59	5.144777538
60	5.144422556
61	5.144127588
62	5.141415189
63	5.140264885
64	5.139748707
65	5.136059258
66	5.135934455
67	5.124036195
68	5.123441176
69	5.122442388
70	5.120106587
71	5.116874181
72	5.116303409
73	5.113296332
74	5.11245911
75	5.110696075
76	5.109681658
77	5.10849821
78	5.107157745
79	5.106787897
80	5.106761647
81	5.106082398
82	5.105447303
83	5.104475408
84	5.104074356
85	5.101221409
86	5.101044993
87	5.099923785
88	5.089310564
89	5.088798106
90	5.088004684
91	5.084221613
92	5.082641895
93	5.082596445
94	5.081841613
95	5.080364408
96	5.080141268
97	5.080111172
98	5.080029035
99	5.079593171
100	5.078565342
101	5.078380828
102	5.078318298
103	5.077478511
104	5.076612548
105	5.065888232
106	5.065258542
107	5.062773484
108	5.062190961
109	5.059817328
110	5.05930308
111	5.049388312
112	5.049192412
113	5.048686716
114	5.048476549
115	5.048223214
116	5.045889384
117	5.045470029
118	5.043666637
119	5.041104343
120	5.040003725
121	5.039305427
122	5.037899986
123	5.037340702
124	5.036392375
125	5.036107841
126	5.033653946
127	5.03322861
128	5.031207909
129	5.03039491
130	5.029778898
131	5.029403188
132	5.029301876
133	5.028856458
134	5.028472019
135	5.028359181
136	5.027738322
137	5.023923817
138	5.022926511
139	5.022399902
140	5.020627145
141	5.020078648
142	5.020052136
143	5.013076638
144	5.010008031
145	5.009596014
146	5.008078652
147	5.005588506
148	4.999486679
149	4.998396012
150	4.998130589
151	4.996495144
152	4.99571634
153	4.995067907
154	4.994927246
155	4.994563436
156	4.994442369
157	4.990814698
158	4.990300146
159	4.989592846
160	4.987262955
161	4.985021142
162	4.984326778
163	4.981466341
164	4.981360838
165	4.977025506
166	4.976684187
167	4.971405349
168	4.970370506
169	4.96996154
170	4.969692316
171	4.967873528
172	4.965102804
173	4.96444097
174	4.964350399
175	4.96412322
176	4.962854334
177	4.957949602
178	4.957561913
179	4.957022886
180	4.956507638
181	4.954040288
182	4.95364373
183	4.953081674
184	4.952857651
185	4.952059211
186	4.948266553
187	4.948134951
188	4.947472969
189	4.94631683
190	4.945897631
191	4.945802898
192	4.944919129
193	4.944492454
194	4.944103135
195	4.943024496
196	4.936005696
197	4.933707095
198	4.9336118
199	4.933210057
200	4.932519052
201	4.931560194
202	4.927424679
203	4.927340175
204	4.927267124
205	4.925985413
206	4.920908396
207	4.920239302
208	4.919619603
209	4.915835994
210	4.912407466
211	4.912159827
212	4.911578375
213	4.9114705
214	4.911407423
215	4.910628236
216	4.91033846
217	4.91028168
218	4.909845063
219	4.909127554
220	4.908960335
221	4.908026057
222	4.907889476
223	4.90747154
224	4.907118589
225	4.906906543
226	4.903990414
227	4.90286929
228	4.902171951
229	4.900225216
230	4.899890513
231	4.898538368
232	4.898491765
233	4.8969844
234	4.896618949
235	4.895898332
236	4.894833664
237	4.894548667
238	4.892592278
239	4.889446698
240	4.888329692
241	4.888301328
242	4.887732964
243	4.887535502
244	4.885520121
245	4.885023997
246	4.88424629
247	4.880532186
248	4.87570325
249	4.873911434
250	4.8726307
251	4.872117461
252	4.871645041
253	4.871184143
254	4.869727318
255	4.868924484
256	4.868516533
257	4.865449825
258	4.864013499
259	4.863792569
260	4.863375594
261	4.863111087
262	4.862363268
263	4.861956093
264	4.861679588
265	4.861310153
266	4.860971136
267	4.860360175
268	4.859989421
269	4.859655973
270	4.8593412
271	4.85923575
272	4.858890125
273	4.858328398
274	4.85829477
275	4.857632728
276	4.856792754
277	4.856523677
278	4.856013504
279	4.855716452
280	4.854956584
281	4.854658247
282	4.853183079
283	4.851471093
284	4.851152205
285	4.850930624
286	4.85068972
287	4.850452954
288	4.848794614
289	4.848765737
290	4.848179316
291	4.847830149
292	4.847534473
293	4.847150533
294	4.847028818
295	4.845763588
296	4.845269736
297	4.843669617
298	4.843643254
299	4.843425477
300	4.8429959
301	4.841285204
302	4.841164438
303	4.840203643
304	4.837743076
305	4.837619611
306	4.835112452
307	4.834785302
308	4.832397269
309	4.831172749
310	4.830957327
311	4.830884138
312	4.830550691
313	4.829635055
314	4.82878746
315	4.82755729
316	4.826888467
317	4.826716043
318	4.826645569
319	4.825961099
320	4.823969796
321	4.823683501
322	4.82202407
323	4.821765207
324	4.81932974
325	4.818921607
326	4.818032711
327	4.817757335
328	4.817348115
329	4.817283563
330	4.816941954
331	4.815741587
332	4.814245155
333	4.813474033
334	4.813352176
335	4.812421519
336	4.811810454
337	4.81173735
338	4.811458176
339	4.811257062
340	4.81096038
341	4.810680333
342	4.810186519
343	4.809207135
344	4.80914072
345	4.807943885
346	4.80732569
347	4.807253642
348	4.806366011
349	4.805462651
350	4.803827833
351	4.802904725
352	4.80281611
353	4.802215022
354	4.802030831
355	4.80195248
356	4.801707162
357	4.801455547
358	4.801329815
359	4.801146688
360	4.801079746
361	4.801021395
362	4.800903015
363	4.800882903
364	4.800375857
365	4.800252327
366	4.799448974
367	4.799203484
368	4.799062456
369	4.796981746
370	4.796919514
371	4.796661007
372	4.795078891
373	4.795023378
374	4.794867381
375	4.79469265
376	4.79464343
377	4.792550947
378	4.791778631
379	4.791741245
380	4.790818256
381	4.790768807
382	4.790218052
383	4.789687806
384	4.789181592
385	4.78817433
386	4.787294724
387	4.787221681
388	4.786188654
389	4.785988863
390	4.785743558
391	4.783955618
392	4.783124901
393	4.779798752
394	4.779334328
395	4.779129789
396	4.778156006
397	4.777988365
398	4.777908721
399	4.776938657
400	4.776769219
401	4.776560584
402	4.776299405
403	4.775618536
404	4.774260706
405	4.77399498
406	4.773630844
407	4.772465959
408	4.771794681
409	4.77175837
410	4.771381326
411	4.771043144
412	4.770949196
413	4.768733658
414	4.767328468
415	4.767295821
416	4.766977026
417	4.765016311
418	4.764820891
419	4.764243602
420	4.763505961
421	4.759871349
422	4.759839799
423	4.759715316
424	4.759325458
425	4.759097466
426	4.755879803
427	4.755356207
428	4.753460344
429	4.752159239
430	4.750072694
431	4.749457491
432	4.74909614
433	4.748930011
434	4.748836233
435	4.748783113
436	4.748611187
437	4.748150395
438	4.748075087
439	4.747986082
440	4.747870339
441	4.747638634
442	4.747558446
443	4.746978959
444	4.746152254
445	4.746096963
446	4.745853998
447	4.745683319
448	4.745382925
449	4.743768632
450	4.743368472
451	4.743025566
452	4.742819996
453	4.742776899
454	4.742045173
455	4.741869955
456	4.741692735
457	4.741236023
458	4.74060299
459	4.740576715
460	4.740439178
461	4.740245958
462	4.739963062
463	4.739655349
464	4.739509384
465	4.739359773
466	4.739219139
467	4.739006783
468	4.737311038
469	4.736750342
470	4.736674014
471	4.735668168
472	4.735649642
473	4.735620131
474	4.73554202
475	4.735167674
476	4.734112273
477	4.734018636
478	4.733922996
479	4.733742579
480	4.733608006
481	4.733180483
482	4.732949511
483	4.732901706
484	4.732846706
485	4.732515017
486	4.732499526
487	4.73135319
