iter	Passed	Remaining
0	33	33728
1	67	33629
2	106	35300
3	142	35573
4	177	35230
5	213	35443
6	250	35567
7	287	35690
8	322	35565
9	359	35546
10	399	35927
11	433	35689
12	466	35393
13	499	35193
14	533	35055
15	575	35404
16	609	35242
17	643	35100
18	671	34646
19	707	34656
20	740	34521
21	779	34641
22	816	34686
23	855	34770
24	891	34765
25	929	34807
26	966	34836
27	1000	34748
28	1025	34332
29	1058	34223
30	1093	34186
31	1129	34179
32	1163	34090
33	1201	34137
34	1234	34050
35	1274	34117
36	1311	34123
37	1343	34011
38	1376	33907
39	1425	34216
40	1461	34175
41	1494	34099
42	1531	34073
43	1565	34019
44	1601	33984
45	1640	34014
46	1673	33939
47	1704	33798
48	1735	33673
49	1770	33646
50	1804	33573
51	1842	33584
52	1884	33673
53	1917	33592
54	1950	33511
55	1984	33452
56	2019	33411
57	2056	33406
58	2093	33386
59	2131	33390
60	2158	33223
61	2208	33407
62	2242	33357
63	2281	33366
64	2314	33292
65	2354	33317
66	2389	33268
67	2421	33190
68	2453	33102
69	2485	33020
70	2520	32973
71	2556	32948
72	2589	32883
73	2623	32823
74	2656	32763
75	2692	32730
76	2725	32669
77	2762	32652
78	2796	32604
79	2830	32547
80	2856	32403
81	2894	32401
82	2930	32377
83	2964	32332
84	2999	32288
85	3032	32229
86	3069	32210
87	3103	32166
88	3138	32128
89	3178	32135
90	3215	32116
91	3254	32120
92	3290	32094
93	3328	32082
94	3364	32050
95	3397	31990
96	3440	32024
97	3465	31893
98	3497	31827
99	3530	31774
100	3563	31720
101	3600	31699
102	3632	31632
103	3664	31573
104	3701	31554
105	3739	31535
106	3774	31504
107	3812	31491
108	3844	31428
109	3879	31388
110	3904	31267
111	3946	31288
112	3982	31261
113	4015	31207
114	4049	31166
115	4082	31111
116	4116	31067
117	4151	31031
118	4187	30998
119	4222	30964
120	4264	30980
121	4299	30944
122	4337	30924
123	4375	30908
124	4409	30865
125	4442	30814
126	4478	30781
127	4502	30672
128	4536	30628
129	4570	30585
130	4603	30537
131	4629	30440
132	4657	30362
133	4689	30308
134	4725	30278
135	4759	30234
136	4795	30206
137	4830	30173
138	4865	30139
139	4899	30094
140	4930	30034
141	4962	29982
142	4982	29861
143	5022	29858
144	5059	29833
145	5094	29799
146	5130	29768
147	5167	29748
148	5205	29729
149	5248	29742
150	5286	29723
151	5321	29687
152	5354	29640
153	5389	29607
154	5421	29556
155	5456	29523
156	5487	29464
157	5526	29453
158	5562	29421
159	5597	29387
160	5633	29358
161	5669	29327
162	5706	29304
163	5741	29265
164	5771	29207
165	5805	29169
166	5839	29127
167	5875	29095
168	5908	29052
169	5941	29010
170	5971	28950
171	6007	28922
172	6048	28912
173	6083	28878
174	6116	28834
175	6145	28773
176	6181	28740
177	6216	28707
178	6256	28695
179	6293	28669
180	6328	28633
181	6362	28595
182	6395	28552
183	6434	28535
184	6469	28499
185	6507	28480
186	6547	28465
187	6585	28441
188	6618	28401
189	6652	28361
190	6688	28330
191	6719	28279
192	6751	28230
193	6781	28175
194	6811	28118
195	6846	28085
196	6883	28059
197	6922	28038
198	6952	27984
199	6989	27956
200	7024	27923
201	7065	27911
202	7106	27901
203	7140	27861
204	7173	27819
205	7210	27793
206	7251	27779
207	7286	27743
208	7319	27702
209	7355	27670
210	7385	27617
211	7419	27577
212	7449	27523
213	7485	27492
214	7516	27443
215	7547	27392
216	7580	27352
217	7611	27305
218	7647	27271
219	7683	27241
220	7713	27190
221	7747	27150
222	7782	27117
223	7815	27076
224	7851	27043
225	7882	26995
226	7914	26950
227	7951	26923
228	7982	26876
229	8017	26840
230	8054	26814
231	8093	26793
232	8128	26757
233	8163	26721
234	8199	26691
235	8240	26675
236	8273	26635
237	8311	26609
238	8344	26568
239	8378	26531
240	8414	26499
241	8450	26468
242	8485	26435
243	8519	26396
244	8556	26369
245	8595	26346
246	8630	26310
247	8668	26284
248	8704	26253
249	8742	26227
250	8780	26201
251	8812	26157
252	8849	26129
253	8879	26079
254	8917	26052
255	8953	26020
256	8984	25975
257	9021	25945
258	9059	25919
259	9094	25884
260	9132	25858
261	9171	25832
262	9211	25814
263	9248	25782
264	9281	25743
265	9312	25695
266	9342	25647
267	9372	25599
268	9402	25550
269	9431	25501
270	9464	25458
271	9499	25424
272	9536	25394
273	9571	25362
274	9604	25321
275	9633	25271
276	9703	25326
277	9748	25318
278	9787	25292
279	9823	25259
280	9872	25261
281	9905	25219
282	9944	25195
283	9987	25179
284	10019	25135
285	10053	25098
286	10087	25060
287	10118	25016
288	10160	24997
289	10197	24965
290	10233	24932
291	10267	24894
292	10302	24858
293	10336	24822
294	10373	24790
295	10410	24760
296	10444	24722
297	10511	24761
298	10544	24720
299	10578	24683
300	10611	24641
301	10652	24619
302	10688	24586
303	10727	24559
304	10764	24530
305	10802	24500
306	10837	24462
307	10873	24431
308	10904	24384
309	10941	24352
310	10974	24312
311	11003	24264
312	11036	24224
313	11071	24188
314	11108	24156
315	11146	24126
316	11186	24102
317	11228	24081
318	11260	24039
319	11295	24002
320	11333	23972
321	11370	23942
322	11408	23912
323	11439	23867
324	11508	23901
325	11543	23865
326	11578	23830
327	11616	23799
328	11651	23763
329	11686	23727
330	11721	23690
331	11756	23655
332	11805	23646
333	11843	23616
334	11876	23574
335	11912	23541
336	11949	23509
337	11983	23471
338	12019	23435
339	12054	23400
340	12089	23364
341	12124	23326
342	12161	23294
343	12198	23261
344	12233	23225
345	12270	23192
346	12306	23158
347	12339	23119
348	12377	23087
349	12414	23054
350	12452	23025
351	12487	22988
352	12524	22955
353	12561	22922
354	12597	22887
355	12628	22844
356	12662	22807
357	12697	22770
358	12730	22731
359	12767	22697
360	12802	22661
361	12833	22617
362	12868	22581
363	12901	22542
364	12938	22508
365	12972	22471
366	13008	22436
367	13042	22398
368	13077	22363
369	13113	22328
370	13145	22287
371	13185	22260
372	13222	22226
373	13253	22183
374	13300	22167
375	13335	22132
376	13369	22093
377	13407	22061
378	13442	22025
379	13477	21989
380	13513	21954
381	13547	21917
382	13584	21884
383	13621	21850
384	13658	21818
385	13692	21779
386	13728	21746
387	13767	21716
388	13802	21679
389	13835	21640
390	13870	21603
391	13906	21569
392	13946	21540
393	13981	21505
394	14015	21466
395	14050	21429
396	14087	21397
397	14120	21358
398	14156	21322
399	14189	21284
400	14226	21250
401	14264	21219
402	14299	21182
403	14341	21157
404	14377	21122
405	14412	21086
406	14448	21051
407	14488	21022
408	14524	20987
409	14559	20952
410	14594	20915
411	14628	20877
412	14664	20842
413	14699	20805
414	14734	20770
415	14769	20734
416	14803	20696
417	14839	20661
418	14876	20628
419	14916	20598
420	14981	20604
421	15024	20578
422	15059	20541
423	15092	20503
424	15130	20470
425	15169	20439
426	15206	20406
427	15242	20370
428	15276	20332
429	15311	20296
430	15356	20273
431	15408	20258
432	15440	20218
433	15475	20182
434	15512	20148
435	15547	20111
436	15583	20076
437	15620	20043
438	15656	20007
439	15686	19965
440	15721	19927
441	15755	19890
442	15786	19849
443	15822	19814
444	15855	19775
445	15891	19739
446	15928	19705
447	15961	19666
448	15994	19627
449	16032	19595
450	16071	19563
451	16108	19529
452	16141	19490
453	16177	19455
454	16215	19423
455	16256	19393
456	16293	19360
457	16326	19321
458	16365	19289
459	16402	19255
460	16440	19222
461	16478	19188
462	16514	19153
463	16547	19115
464	16585	19081
465	16622	19048
466	16658	19013
467	16695	18978
468	16733	18945
469	16770	18911
470	16806	18876
471	16844	18842
472	16881	18809
473	16911	18766
474	16940	18723
475	16976	18688
476	17013	18653
477	17044	18613
478	17076	18573
479	17113	18539
480	17152	18507
481	17189	18473
482	17226	18438
483	17261	18402
484	17291	18361
485	17324	18322
486	17358	18285
487	17391	18247
488	17428	18212
489	17467	18180
490	17506	18148
491	17542	18112
492	17574	18073
493	17612	18040
494	17649	18006
495	17683	17968
496	17717	17931
497	17752	17895
498	17783	17854
499	17818	17818
500	17854	17782
501	17888	17745
502	17925	17711
503	17958	17673
504	17992	17636
505	18023	17596
506	18060	17562
507	18101	17531
508	18138	17497
509	18174	17461
510	18205	17421
511	18241	17386
512	18274	17348
513	18310	17312
514	18345	17277
515	18375	17236
516	18410	17199
517	18441	17159
518	18475	17122
519	18510	17086
520	18543	17048
521	18579	17013
522	18616	16979
523	18656	16947
524	18697	16916
525	18731	16879
526	18768	16845
527	18805	16810
528	18839	16774
529	18876	16739
530	18911	16703
531	18953	16673
532	18990	16639
533	19022	16599
534	19056	16563
535	19089	16525
536	19123	16488
537	19158	16452
538	19194	16416
539	19232	16383
540	19267	16347
541	19298	16307
542	19332	16270
543	19365	16232
544	19402	16198
545	19439	16163
546	19477	16129
547	19513	16094
548	19558	16066
549	19596	16033
550	19627	15993
551	19663	15958
552	19700	15923
553	19735	15887
554	19771	15852
555	19806	15816
556	19840	15780
557	19878	15746
558	19915	15711
559	19947	15673
560	19977	15633
561	20012	15597
562	20045	15558
563	20079	15522
564	20117	15488
565	20153	15453
566	20190	15419
567	20228	15385
568	20266	15350
569	20302	15316
570	20342	15283
571	20377	15247
572	20413	15212
573	20446	15174
574	20476	15134
575	20508	15096
576	20544	15061
577	20582	15027
578	20617	14991
579	20652	14955
580	20687	14919
581	20723	14884
582	20760	14849
583	20798	14815
584	20834	14780
585	20864	14740
586	20900	14705
587	20932	14666
588	20966	14629
589	21000	14593
590	21032	14555
591	21068	14520
592	21105	14485
593	21136	14446
594	21172	14411
595	21208	14376
596	21243	14340
597	21280	14305
598	21316	14270
599	21352	14234
600	21387	14199
601	21427	14166
602	21464	14131
